XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
4.7,379.12446644,379.12446644,61.2,569.0,0.0,0.0,6.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,
1.0,303.16952493,303.16952493,85.4,407.0,0.0,2.0,5.0,3.0,22.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
3.3,303.14839556,303.14839556,59.4,403.0,0.0,1.0,3.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1,363.10529078,363.10529078,112.0,643.0,0.0,2.0,8.0,2.0,25.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0
2.1,392.09431156,392.09431156,116.0,673.0,0.0,1.0,5.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3,293.116426730,293.116426730,71.1,472.0,0.0,2.0,5.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6,238.04121336,238.04121336,75.2,302.0,0.0,0.0,4.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.4,275.10923335,275.10923335,96.3,294.0,0.0,2.0,5.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4,383.17461031,383.17461031,96.7,561.0,0.0,3.0,4.0,6.0,29.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
3.3,358.13422267,358.13422267,79.4,550.0,0.0,1.0,6.0,4.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.9,422.09095751,422.09095751,168.0,647.0,0.0,2.0,9.0,6.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2.3,539.27572133,539.27572133,148.0,849.0,0.0,3.0,10.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4,445.23385652,445.23385652,149.0,658.0,0.0,3.0,9.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.6,208.03064868,208.03064868,65.9,264.0,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.1,405.15109816,405.15109816,95.3,576.0,0.0,2.0,4.0,5.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.7,374.09906016,374.09906016,82.6,625.0,0.0,3.0,6.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.1,316.1090889,316.1090889,73.8,381.0,0.0,3.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,352.06817700,352.06817700,79.5,538.0,0.0,1.0,5.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.2,444.0439190,444.0439190,145.0,606.0,0.0,3.0,8.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.1,528.0650484,528.0650484,174.0,835.0,0.0,3.0,10.0,5.0,35.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3.3,515.17803875,515.17803875,107.0,769.0,0.0,3.0,10.0,6.0,37.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
2.7,294.10044231,294.10044231,67.4,480.0,0.0,2.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.8,344.0386265,344.0386265,83.5,515.0,0.0,2.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.3,392.19607403,392.19607403,87.4,501.0,0.0,1.0,7.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3,440.1727518,440.1727518,87.4,576.0,0.0,1.0,7.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,612.17910381,612.17910381,188.0,1230.0,0.0,3.0,9.0,9.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3.3,326.00548,326.00548,44.9,402.0,0.0,2.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7,347.11823825,347.11823825,83.6,498.0,0.0,2.0,5.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6,367.0836024,367.0836024,96.7,496.0,0.0,2.0,5.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.3,701.2299495,701.2299495,186.0,1110.0,0.0,3.0,11.0,14.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.7,697.27948655,697.27948655,196.0,1120.0,0.0,3.0,12.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.5,585.25220918,585.25220918,158.0,910.0,0.0,4.0,9.0,12.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.3,285.0668897,285.0668897,51.0,301.0,0.0,1.0,4.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,314.0934388,314.0934388,54.2,341.0,0.0,1.0,5.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.7,316.0363179,316.0363179,96.8,379.0,0.0,1.0,6.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.4,310.14297583,310.14297583,63.4,353.0,0.0,1.0,6.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.3,545.18854629,545.18854629,100.0,1020.0,0.0,1.0,5.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7,323.00179,323.00179,112.0,515.0,0.0,4.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2.7,469.17500423,469.17500423,97.9,935.0,0.0,1.0,5.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.8,345.15896025,345.15896025,61.4,487.0,0.0,1.0,4.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.1,306.15929460,306.15929460,83.2,453.0,0.0,1.0,4.0,4.0,23.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.4,293.08004122,293.08004122,90.7,478.0,0.0,2.0,3.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.7,527.28964006,527.28964006,80.7,777.0,0.0,2.0,5.0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,,,,,,,,,,,,,,,,,
2.7,345.13380813,345.13380813,90.1,470.0,0.0,1.0,7.0,5.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
4.1,313.0981898,313.0981898,57.8,386.0,0.0,2.0,2.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,485.19507097,485.19507097,83.7,796.0,0.0,1.0,5.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8,397.14264148,397.14264148,84.2,720.0,0.0,2.0,4.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.6,279.100776666,279.100776666,68.0,393.0,0.0,1.0,4.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.4,475.97094,475.97094,84.7,640.0,0.0,1.0,5.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9,386.08546,386.08546,67.1,405.0,0.0,2.0,5.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.2,317.02761,317.02761,55.1,303.0,0.0,1.0,4.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3,377.14634470,377.14634470,75.3,500.0,0.0,2.0,8.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3,313.10266837,313.10266837,57.8,459.0,0.0,2.0,4.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8,293.116426730,293.116426730,78.0,418.0,0.0,3.0,3.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4,308.12732577,308.12732577,79.9,442.0,0.0,2.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,330.14806121,330.14806121,70.7,471.0,0.0,2.0,3.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.7,281.12766012,281.12766012,83.6,364.0,0.0,2.0,4.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5,336.16985928,336.16985928,86.8,460.0,0.0,2.0,5.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.7,294.10044231,294.10044231,67.4,472.0,0.0,2.0,4.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.3,490.21172409,490.21172409,85.1,905.0,0.0,1.0,5.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.6,540.22737416,540.22737416,85.1,1030.0,0.0,1.0,5.0,7.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.9,249.9622061,249.9622061,62.4,245.0,0.0,0.0,3.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,339.15829154,339.15829154,77.3,426.0,0.0,1.0,5.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
